time,Nominal strain,Nominal stress,material,Temperature
0,0,0,IF-steel,296
14.31274887,0.000472321,94.46414254,IF-steel,297
243.694765,0.000548017,96.64335561,IF-steel,298
246.0579542,0.000626002,98.88040398,IF-steel,299
479.1663301,0.000702928,100.8255568,IF-steel,300
481.5266199,0.000780817,103.0434701,IF-steel,301
712.239971,0.000856953,104.9105512,IF-steel,302
714.66596,0.00093701,107.0020787,IF-steel,303
929.056478,0.001007759,108.7518529,IF-steel,304
931.2782309,0.001081077,109.4954219,IF-steel,305
1159.175588,0.001156283,111.6566475,IF-steel,306
1161.479603,0.001232316,113.5031459,IF-steel,307
1398.339835,0.00131048,115.2159212,IF-steel,308
1400.602346,0.001385142,116.7884991,IF-steel,309
1617.429105,0.001456695,118.1390652,IF-steel,310
1619.760472,0.00153363,119.6860864,IF-steel,311
1829.922851,0.001602984,121.0768034,IF-steel,312
1832.154255,0.00167662,122.4440702,IF-steel,313
2063.535776,0.001752976,123.8752506,IF-steel,314
2065.794058,0.0018275,125.3399066,IF-steel,315
2283.983319,0.001899502,126.3803978,IF-steel,316
2286.218047,0.001973248,127.6896034,IF-steel,317
2496.512359,0.002042645,128.6890281,IF-steel,318
2498.682812,0.00211427,129.6540151,IF-steel,319
2715.35155,0.002185771,130.5141518,IF-steel,320
2717.543958,0.00225812,131.6240442,IF-steel,321
2932.018848,0.002328897,132.3393869,IF-steel,322
2934.16068,0.002399577,133.1154757,IF-steel,323
3151.884681,0.002471426,134.1252598,IF-steel,324
3153.954025,0.002539715,134.8229306,IF-steel,325
3365.132758,0.002609404,135.4007269,IF-steel,326
3367.296134,0.002680795,136.2390126,IF-steel,327
3578.521828,0.0027505,136.8199084,IF-steel,328
3580.597713,0.002819004,137.5607492,IF-steel,329
3798.828331,0.00289102,138.1239699,IF-steel,330
3800.857059,0.002957968,138.6335777,IF-steel,331
4011.169829,0.003027371,139.0742205,IF-steel,332
4013.318092,0.003098264,139.8927586,IF-steel,333
4223.50338,0.003167625,140.3249876,IF-steel,334
4225.607928,0.003237075,140.8550049,IF-steel,335
4433.473509,0.003305671,141.2141333,IF-steel,336
4435.50157,0.003372597,141.6393343,IF-steel,337
4653.122855,0.003444412,142.1623391,IF-steel,338
4655.225936,0.003513813,142.6026757,IF-steel,339
4854.245006,0.00357949,142.8579343,IF-steel,340
4856.422072,0.003651333,143.386572,IF-steel,341
5068.623063,0.003721359,143.9518374,IF-steel,342
5070.617724,0.003787183,144.2365968,IF-steel,343
5280.065964,0.003856301,144.6201806,IF-steel,344
5282.08152,0.003922814,145.0428452,IF-steel,345
5490.358902,0.003991546,145.3491524,IF-steel,346
5492.435456,0.004060072,145.6944104,IF-steel,347
5701.1598,0.004128951,146.1102171,IF-steel,348
5703.257212,0.004198166,146.5131341,IF-steel,349
5911.603565,0.00426692,146.9039934,IF-steel,350
5913.706298,0.00433631,147.3420286,IF-steel,351
6119.093447,0.004404088,147.5375804,IF-steel,352
6121.154924,0.004472117,147.7833302,IF-steel,353
6330.648393,0.004541249,148.1698992,IF-steel,354
6332.629114,0.004606613,148.3626578,IF-steel,355
6543.696085,0.004676265,148.8530778,IF-steel,356
6545.771748,0.004744762,149.1924585,IF-steel,357
6753.580337,0.004813339,149.5478254,IF-steel,358
6755.676483,0.004882512,149.9423874,IF-steel,359
6959.188909,0.004949671,150.0142075,IF-steel,360
6961.318214,0.005019938,150.6276262,IF-steel,361
7156.214627,0.005084254,150.6107894,IF-steel,362
7158.292769,0.005152833,150.8865287,IF-steel,363
7375.529501,0.005224521,151.3841531,IF-steel,364
7377.497285,0.005289458,151.4915244,IF-steel,365
7594.186195,0.005360965,151.8729925,IF-steel,366
7596.258116,0.005429338,152.187667,IF-steel,367
7793.686126,0.00549449,152.2579157,IF-steel,368
7795.783023,0.005563687,152.737435,IF-steel,369
7994.653662,0.005629314,152.9828972,IF-steel,370
7996.843425,0.005701577,153.5153366,IF-steel,371
8201.834258,0.005769224,153.6847315,IF-steel,372
8203.850105,0.005835747,154.0293244,IF-steel,373
8416.235475,0.005905834,154.2067588,IF-steel,374
8418.226172,0.005971527,154.3853563,IF-steel,375
8624.452916,0.006039582,154.6363215,IF-steel,376
8626.549896,0.006108782,155.1163883,IF-steel,377
8831.018402,0.006176257,155.1713097,IF-steel,378
8833.021046,0.006242344,155.5087602,IF-steel,379
9047.754667,0.006313206,155.7611792,IF-steel,380
9049.757841,0.006379311,156.1021282,IF-steel,381
9255.657867,0.006447258,156.3315299,IF-steel,382
9257.844844,0.006519428,156.8455766,IF-steel,383
9456.884208,0.006585111,157.1021746,IF-steel,384
9458.838961,0.006649618,157.0435474,IF-steel,385
9673.712089,0.006720526,157.3851738,IF-steel,386
9675.698867,0.00678609,157.617904,IF-steel,387
9884.379127,0.006854954,157.9508012,IF-steel,388
9886.426218,0.006922508,158.1015992,IF-steel,389
10100.20832,0.006993056,158.2912181,IF-steel,390
10102.20488,0.007058943,158.5885084,IF-steel,391
10316.63667,0.007129705,158.8210066,IF-steel,392
10318.52844,0.007192133,158.906697,IF-steel,393
10527.1509,0.007260979,159.3157789,IF-steel,394
10529.19049,0.007328285,159.3370979,IF-steel,395
10747.21184,0.007400233,159.8865071,IF-steel,396
10749.25824,0.007467764,159.9527654,IF-steel,397
10955.71788,0.007535896,160.2191011,IF-steel,398
10957.70291,0.007601402,160.4403366,IF-steel,399
11167.65489,0.007670686,160.8571672,IF-steel,400
11169.63481,0.007736023,161.0446084,IF-steel,401
11386.31195,0.007807527,161.4253,IF-steel,402
11388.25222,0.007871555,161.3510455,IF-steel,403
